Period,ETF,Weight_Type,Tickers,Periods,A,B,R²,Systematic
250 Days Weekly,ARKF,Equal Weighted,42,22,0.3405938612676433,0.1957674823276735,0.9503674146092435,0.34660980420307047
250 Days Weekly,ARKF,MarketCap Weighted,42,22,0.3566099184081156,0.1757567980312207,0.9944757745436925,0.34660980420307047
250 Days Weekly,ARKG,Equal Weighted,34,34,0.4166724064001902,0.4343694426028613,0.9176247360141012,0.40965700355521434
250 Days Weekly,ARKG,MarketCap Weighted,34,34,0.371990068158811,0.476296223910804,0.9980932712702836,0.40965700355521434
250 Days Weekly,ARKQ,Equal Weighted,37,34,0.3160186977014136,0.25434159429678527,0.985034556456969,0.32424216585886056
250 Days Weekly,ARKQ,MarketCap Weighted,37,34,0.3215643626204233,0.25230529186351996,0.9760661686446831,0.32424216585886056
250 Days Weekly,ARKW,Equal Weighted,47,26,0.35151516073478867,0.23036151703722507,0.976906468660447,0.3586341056480614
250 Days Weekly,ARKW,MarketCap Weighted,47,26,0.35226993858158095,0.21928239045763734,0.985460610392662,0.3586341056480614
250 Days Weekly,ARKX,Equal Weighted,34,34,0.24922266603174656,0.20859281092050952,0.9849387887129332,0.25638080121527507
250 Days Weekly,ARKX,MarketCap Weighted,34,34,0.32317649534157733,0.15132794122984305,0.8673976567185478,0.25638080121527507
